Ano;Semestre;Tipo;Irregularidade;Aplicação;
2015;1º;Reclamação regulada;Fornecimento de cartão de crédito básico;"Para os casos em que a instituição financeira se recusa a ofertar/conceder o cartão de crédito básico, nacional e/ou internacional, a pessoas naturais quando da contratação do cartão de crédito.";
2015;1º;Reclamação não regulada;Golpe;Para as situações relacionadas à ação praticada por eventuais golpistas.;
2015;1º;Reclamação regulada;Imposição de exclusividade para crédito consignado;"Para os casos de existência de convênios, contratos ou acordos que impeçam ou restrinjam o acesso de clientes a operações de crédito consignado ofertadas por outras instituições.";
2015;1º;Reclamação regulada;Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional);"Para os casos envolvendo a inclusão, por parte de instituição financeira, de dados incorretos no Cadastro de Clientes do Sistema Financeiro Nacional (CCS).";
2015;1º;Reclamação regulada;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;"Para os casos de insatisfação com a resposta (incompleta ou incorreta) recebida da instituição financeira à reclamação registrada no Banco Central do Brasil.
";
2015;1º;Reclamação não regulada;Insatisfação com o atendimento prestado pelo SAC;"Para situações diversas envolvendo atendimento prestado pelo Serviço de Atendimento ao Consumidor (SAC), tais como:
- atendimento descortês no SAC; 
- dificuldade de acesso ao SAC;
- não estabelecimento de prazos ou não cumprimento dos prazos estabelecidos para resposta às consultas e reclamações;
- não fornecimento do número de protocolo do SAC pela instituição financeira;
- não disponibilização/entrega de gravação telefônica solicitada pelo cliente.";
2015;1º;Reclamação não regulada;Insatisfação com o atendimento prestado por agências;"Para situações diversas envolvendo atendimento prestado na agência do cliente ou usuário, tais como:
- atendimento descortês; 
- não estabelecimento de prazos ou não cumprimento dos prazos estabelecidos para resposta às consultas e reclamações;
- reclamações envolvendo os produtos ""seguro"" ou ""plano de previdência privada"", manifestada contra a instituição fiscalizada e não contra a seguradora ou contra empresa de previdência privada, tais como: demora no cancelamento ou no pagamento do seguro, demora no resgate da aplicação da previdência, entre outros.
- demora em efetuar transferência de agência;
- recusa de atendimento em agência diversa daquela onde o cliente possui conta;
- demora para transferência de titularidade do devedor em operações de financiamento; 
- demora para alteração de domicílio bancário (solicitação feita por estabelecimento comercial). 
- situações decorrentes do não atendimento em função de greve bancária.";
2015;1º;Reclamação não regulada;Investimentos financeiros;"Para as situações relacionadas a investimentos financeiros, tais como:
- resgate de investimentos sem autorização do cliente;
- alteração de modalidade de investimento sem autorização do cliente.";
2015;1º;Reclamação regulada;Irregularidade relacionada à prestação de informação do valor efetivo total (VET) nas operações de câmbio;"Para os casos envolvendo ausência ou falha na prestação de informação ao cliente, por parte da instituição autorizada a operar no mercado de câmbio, relativas ao Valor Efetivo Total (VET), previamente à realização de operação de câmbio de até US$ 100.000,00 (ou seu equivalente em outras moedas).";
2015;1º;Reclamação regulada;Irregularidades envolvendo a abertura de conta-salário;"Para os casos em que a instituição financeira, contratada para realizar serviços de pagamento de salários, proventos, soldos, vencimentos, aposentadorias, pensões e similares, não faz os respectivos créditos em conta-salário ou não cumpre as eventuais condições e restrições quanto à abertura da conta-salário.
";
2015;1º;Reclamação regulada;Irregularidades no processo de encerramento de conta de depósitos à vista;"Para as situações envolvendo o não cumprimento das condições exigidas para o encerramento de conta de depósito à vista, tais como:
- prazo para adoção das providências relacionadas à rescisão do contrato;
- expedição de aviso ao correntista.";
2015;1º;Reclamação regulada;Irregularidades relacionadas a boletos de pagamento (exceto ausência de contrato com beneficiário);"Para os casos envolvendo boletos de pagamento, tais como:
- ausência de informações mínimas obrigatórias em boletos de pagamento; 
- apresentação, não autorizada, por meio eletrônico (Débito Direto Autorizado - DDA).";
2015;1º;Reclamação regulada;Irregularidades relacionadas a cédulas ou moedas;"Para as situações relacionadas ao meio circulante, tais como:
- recusa em substituir cédulas em mau estado de conservação;
- recusa em substituir cédulas suspeita de ter sido danificada por acionamento de dispositivo antifurto, na hipóstese de saque, inclusive em terminais de autoatendimento;
- não ressarcimento ao apresentante do valor correspondente  aos exemplares declarados legítimos, após o resultado do exame do Banco Central.";
2015;1º;Reclamação regulada;Irregularidades relacionadas a operações de arrendamento mercantil;Para as situações relacionadas a operações de arrendamento mercantil.;
2015;1º;Reclamação regulada;Irregularidades relacionadas a operações no mercado de câmbio;"Para os casos envolvendo operações no mercado de câmbio, tais como:
- demora para aviso de recepção de ordem de pagamento do exterior;
- remessa para liquidação pronta não cumprida no prazo.";
2015;1º;Reclamação regulada;Irregularidades relacionadas a registros no Cadastro de Emitentes de Cheques sem Fundos (CCF);"Para os casos envolvendo registro incorreto por parte de instituição financeira, relacionadas à inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos (CCF), tais como: 
- inclusão indevida; 
- inclusão sem a devida comunicação ao cliente; 
- não inclusão; 
- exclusão indevida;
- não exclusão; ou 
- descumprimento do prazo de exclusão.";
2015;1º;Reclamação regulada;Irregularidades relacionadas ao acompanhamento de conta;"Para os casos envolvendo falhas no acompanhamento de conta de depósito por parte da instituição financeira (""conheça o seu cliente"").";
2015;1º;Reclamação regulada;Irregularidades relacionadas ao atendimento da Ouvidoria;"Para os casos relacionados ao atendimento por parte da ouvidoria da instituição financeira, tais como:
- dificuldade de atendimento;
- encaminhamento para outros canais de atendimento já procurados pelo cliente;
- não fornecimento de protocolo de atendimento;
- recusa em fornecer esclarecimentos ou informar o prazo de resposta.";
2015;1º;Reclamação regulada;Irregularidades relacionadas ao Custo Efetivo Total (CET) de operação de crédito;"Para as situações envolvendo irregularidades relacionadas ao Custo Efetivo Total (CET) de operação de crédito, tais como: 
- ausência no contrato, de forma destacada, da planilha de cálculo do CET;
- recusa em fornecer planilha de cálculo;
- não comunicação do CET ao cliente, previamente à contratação;
- cálculo incorreto.";
2015;1º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de cheques;"Para as irregularidades relacionadas ao fornecimento de cheques, tais como: 
- recusa ao fornecimento mesmo quando cidadão cumpre as condições estipuladas na ficha-proposta de abertura da conta de depósitos à vista; 
- fornecimento indevido; ou 
- envio de talonário pelos Correios sem autorização do cliente.";
2015;1º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado;Para os casos envolvendo o não fornecimento ao cliente de contratos de operações de crédito consignado.;
2015;1º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de contratos de operações de crédito de outras modalidades, exceto crédito consignado, financiamento imobiliário e cartão de crédito.;"Para os casos envolvendo o não fornecimento ao cliente de contratos em geral, exceto aqueles relacionados às operações de crédito consignado, financiamento imobiliário e cartão de crédito.";
2015;1º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de contratos de operações de financiamento imobiliário;Para os casos envolvendo o não fornecimento ao cliente de contratos de operações de financiamento imobiliário.;
2015;1º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de demais operações de operações de crédito, exceto consignado e financiamento imobiliário;Para os casos envolvendo o não fornecimento ao cliente de boletos ou outro documento que viabilize a liquidação antecipada de operações de crédito não relacionadas a crédito consignado ou financiamento imobiliário.;
2015;1º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;Para os casos envolvendo o não fornecimento ao cliente de boletos ou outro documento que viabilize a liquidação antecipada de operações de crédito consignado.;
2015;1º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de financiamento imobiliário;"Para os casos em que foi utilizada incorretamente pela instituição financeira a taxa de desconto no cálculo do valor presente das operações de financiamento imobiliário.
";
2015;1º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;"Para os casos envolvendo o não fornecimento ao cliente de documentos relacionados a cartão de crédito, tais como segundas vias de fatura, contratos de adesão e faturas.";
2015;1º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito (pessoa natural) - exceto crédito consignado e financiamento imobiliário;"Para as situações envolvendo o não fornecimento, pela instituição financeira, em até um dia útil contado a partir da solicitação do devedor (pessoa natural), das seguintes informações relativas a demais operação de crédito, exceto as de crédito consignado e de financiamento imobiliário:
I - número do contrato;
II - saldo devedor atualizado;
III - demonstrativo da evolução do saldo devedor;
IV - modalidade;
V - taxa de juros anual, nominal e efetiva;
VI - prazo total e remanescente;
VII - sistema de pagamento;
VIII - valor de cada prestação, especificando o valor do principal e dos encargos; e
IX - data do último vencimento da operação.";
2015;1º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural);"Para as situações envolvendo o não fornecimento, pela instituição financeira, em até um dia útil contado a partir da solicitação do devedor (pessoa natural), das seguintes informações relativas à operação de crédito consignado:
I - número do contrato;
II - saldo devedor atualizado;
III - demonstrativo da evolução do saldo devedor;
IV - modalidade;
V - taxa de juros anual, nominal e efetiva;
VI - prazo total e remanescente;
VII - sistema de pagamento;
VIII - valor de cada prestação, especificando o valor do principal e dos encargos; e
IX - data do último vencimento da operação.";
