Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;27937333;BANCO BRJ S A;Descumprimento contratual;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;27937333;BANCO BRJ S A;Reclamações relacionadas a assuntos diversos;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;33132044;BANCO CEDULA S A;Descumprimento do prazo resposta da Ouvidoria;1;0;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A;Descumprimento de ordem judicial;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A;Reclamações relacionadas a assuntos diversos;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Ausência de título adequado envolvendo conta de pagamento pós paga de demais cartões de crédito (exceto consignado);1;0;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Bloqueio de cartão de crédito;0;0;5;5;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Cancelamento de contrato a pedido do cliente não atendido;3;4;0;7;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Cobrança irregular de tarifa de cartão de crédito diferenciado;13;1;0;14;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Cobranças diversas;0;0;3;3;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Descumprimento de prazo de resposta da reclamação registrada no BCB;1;3;0;4;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Encaminhamento de instrumento de pagamento ao domicílio não solicitado;1;0;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;2;7;0;9;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Insatisfação com o atendimento prestado pelo SAC;0;0;10;10;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Insatisfação com o atendimento prestado por agências;0;0;2;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Irregularidades relacionadas ao fornecimento de contratos de operações de crédito de outras modalidades, exceto crédito consignado, financiamento imobiliário e cartão de crédito.;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;1;5;0;6;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito (pessoa natural) - exceto crédito consignado e financiamento imobiliário;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural);0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);14;2;0;16;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Irregularidades relativas à integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços;20;12;0;32;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Juros;0;0;6;6;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada;3;3;0;6;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Outros assuntos relacionados a cartão de crédito;0;0;24;24;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Publicidade enganosa;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Reclamações relacionadas a assuntos diversos;0;0;2;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Recusa de produtos ou serviços;0;0;2;2;
