Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações procedentes;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às operações de crédito consignado;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Cobranças diversas;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao fornecimento de informações relativas a operação de crédito contratada (DDC);0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);11;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Irregularidades relativas a telemarketing, SMS ou Whatsapp com oferta de produtos e serviços;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Concessão de crédito (exceto consignado) sem a formalização do título adequado;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao fornecimento de documentos relativos a operação de crédito, exceto para liquidação antecipada e descritivo do crédito.;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04740876;ALELO INSTITUICAO DE PAGAMENTO SA;Abertura de conta de pagamento sem documentação necessária ou com documentação falsa - instituição de pagamento;6;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04740876;ALELO INSTITUICAO DE PAGAMENTO SA;Bloqueio de valores ou de conta fora do âmbito do Pix - instituição de pagamento;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04740876;ALELO INSTITUICAO DE PAGAMENTO SA;Cancelamento de contrato por iniciativa - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04740876;ALELO INSTITUICAO DE PAGAMENTO SA;Descumprimento de prazo de resposta da reclamação registrada no BCB - instituição de pagamento;0;
