Ano;Trimestre;Categoria;Tipo;CNPJ IF;Conglomerado;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;02682287;BTG PACTUAL/BANCO PAN;PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; 0 ;19;3;3;20;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;C6 BANK; ;84,49;5852;745;2596;1756;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;61348538;C6 BANK;BANCO C6 CONSIGNADO S.A.; 0 ;737;142;232;451;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;31872495;C6 BANK;BANCO C6 S.A.; 0 ;5115;603;2363;1305;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CAIXA ECONÔMICA FEDERAL; ;25,29;15805;377;3936;1514;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;00360305;CAIXA ECONÔMICA FEDERAL;CAIXA ECONOMICA FEDERAL; 0 ;15805;377;3936;1514;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CAIXA GERAL; ; ;31;0;0;26;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;33466988;CAIXA GERAL;BANCO CAIXA GERAL - BRASIL S.A.; ;31;0;0;26;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CCB; ; ;53;1;1;49;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;92764489;CCB;BOC BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS; ;20;0;0;16;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;07450604;CCB;BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A; ;33;1;1;33;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CITIBANK; ; ;25;0;0;25;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;33479023;CITIBANK;BANCO CITIBANK S.A.; ;24;0;0;22;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;33042953;CITIBANK;CITIBANK N.A.; ;1;0;0;3;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;COBUCCIO; ;154,30;687;196;280;490;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;36947229;COBUCCIO;COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; 0 ;150;38;44;130;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;03130170;COBUCCIO;BRASIL CARD INSTITUIÇÃO DE PAGAMENTOS LTDA; 0 ;537;158;236;360;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;COLOMBO; ; ;26;11;12;24;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;05676026;COLOMBO;CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;26;11;12;24;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDI-SHOP; ; ;6;0;0;6;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;62895230;CREDI-SHOP;CREDI-SHOP S/A - INSTITUIÇÃO DE PAGAMENTO; ;6;0;0;6;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDSYSTEM; ; ;130;24;25;125;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;04670195;CREDSYSTEM;CREDSYSTEM INSTITUIÇÃO DE PAGAMENTO LTDA; ;130;24;25;125;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREFISA; ;43,98;1553;164;253;1018;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;61033106;CREFISA;BANCO CREFISA S.A.; 0 ;1128;122;198;696;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;60779196;CREFISA;CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS; 0 ;425;42;55;322;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DAYCOVAL; ;73,93;1631;95;170;912;
